"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"149","373220","LG에너지솔루션",508000,-12000,-2.31,3963,128.19,7160,70.95,39831,12.75,0,0
"150","003555","LG우",60800,-300,-0.49,NA,NA,NA,NA,NA,NA,2850,4.69
"151","032640","LG유플러스",10960,40,0.37,1642,6.67,1723,6.36,17852,0.61,550,5.02
"152","011070","LG이노텍",286000,-7500,-2.56,37537,7.62,43796,6.53,140050,2.04,3000,1.05
"153","066570","LG전자",111100,-2900,-2.54,5725,19.41,10527,10.55,95691,1.16,850,0.77
"154","066575","LG전자우",49000,-800,-1.61,NA,NA,NA,NA,NA,NA,900,1.84
"155","037560","LG헬로비전",4485,35,0.79,348,12.89,527,8.5,8424,0.53,110,2.45
"156","051910","LG화학",666000,-21000,-3.06,47108,14.14,31728,20.99,278455,2.39,12000,1.8
"157","051915","LG화학우",304000,-9500,-3.03,NA,NA,NA,NA,NA,NA,12050,3.96
"158","079550","LIG넥스원",74400,-300,-0.4,4829,15.41,7480,9.95,35023,2.12,1200,1.61
"159","006260","LS",68700,200,0.29,10004,6.87,15470,4.44,127727,0.54,1450,2.11
"160","010120","LS ELECTRIC",50400,500,1,2890,17.44,4964,10.15,50525,1,1000,1.98
"161","000680","LS네트웍스",2505,-45,-1.76,818,3.06,NA,NA,7533,0.33,0,0
"162","229640","LS전선아시아",7080,-100,-1.39,486,14.57,433,16.36,5107,1.39,240,3.39
"163","108320","LX세미콘",96600,-900,-0.92,18225,5.3,11683,8.27,49208,1.96,5400,5.59
"164","001120","LX인터내셔널",32800,-100,-0.3,9733,3.37,9988,3.28,49349,0.66,2300,7.01
"165","108670","LX하우시스",36900,-1050,-2.77,1306,28.25,874,42.21,86527,0.43,300,0.81
"166","108675","LX하우시스우",17970,-180,-0.99,NA,NA,NA,NA,NA,NA,350,1.95
"167","383800","LX홀딩스",8470,-40,-0.47,1839,4.61,NA,NA,18209,0.47,0,0
"168","38380K","LX홀딩스1우",11200,-20,-0.18,NA,NA,NA,NA,NA,NA,0,0
"169","086960","MDS테크",2620,40,1.55,NA,NA,NA,NA,1359,1.93,0,0
"170","023150","MH에탄올",7930,-140,-1.73,908,8.73,NA,NA,9654,0.82,350,4.41
"171","038340","MIT",1362,0,0,NA,NA,NA,NA,1162,1.17,0,0
"172","035420","NAVER",211500,-4000,-1.86,110854,1.91,7237,29.23,157641,1.34,511,0.24
"173","160550","NEW",8200,-350,-4.09,NA,NA,NA,NA,4617,1.78,0,0
"174","053290","NE능률",5040,-170,-3.26,262,19.24,NA,NA,4925,1.02,60,1.19
"175","181710","NHN",28350,-650,-2.24,3341,8.49,1625,17.44,53297,0.53,0,0
"176","104200","NHN벅스",7410,-320,-4.14,NA,NA,NA,NA,5288,1.4,0,0
"177","060250","NHN한국사이버결제",13550,-530,-3.76,784,17.28,1089,12.44,4229,3.2,0,0
"178","005940","NH투자증권",9250,-260,-2.73,3071,3.01,1391,6.65,21630,0.43,1050,11.35
"179","005945","NH투자증권우",8850,-10,-0.11,NA,NA,NA,NA,NA,NA,1100,12.43
