"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"139","012750","에스원",56300,-1000,-1.75,"KOSPI","서비스업",2139353721400,3815,14.76,4310,13.06,42676,1.32,2500,4.44
"140","001570","금양",36000,1300,3.75,"KOSPI","화학",2089801332000,295,122.03,NA,NA,2530,14.23,0,0
"141","035760","CJ ENM",94100,-3600,-3.68,"KOSDAQ","방송서비스",2063533391400,9332,10.08,4625,20.35,182220,0.52,2100,2.23
"142","000880","한화",27450,-600,-2.14,"KOSPI","화학",2057617275750,9781,2.81,14665,1.87,52527,0.52,750,2.73
"143","004170","신세계",207500,-2000,-0.95,"KOSPI","유통업",2042875057500,31193,6.65,36641,5.66,380637,0.55,3000,1.45
"144","298020","효성티앤씨",467000,1000,0.21,"KOSPI","화학",2021027494000,178503,2.62,37713,12.38,329152,1.42,50000,10.71
"145","000990","DB하이텍",45300,-1800,-3.82,"KOSPI","전기전자",2011256036400,7292,6.21,8811,5.14,25449,1.78,450,0.99
"146","006360","GS건설",23500,-800,-3.29,"KOSPI","건설업",2011165015000,4834,4.86,4973,4.73,54487,0.43,1300,5.53
"147","112040","위메이드",59500,1100,1.88,"KOSDAQ","디지털컨텐츠",2010919239000,9319,6.38,647,91.91,18883,3.15,650,1.09
"148","016710","대성홀딩스",124900,3200,2.63,"KOSPI","서비스업",2009573429100,1040,120.1,NA,NA,29257,4.27,250,0.2
"149","196170","알테오젠",39000,-2400,-5.8,"KOSDAQ","기타서비스",2009226180000,NA,NA,406,96.07,2634,14.81,0,0
"150","026960","동서",19860,-190,-0.95,"KOSPI","유통업",1.980042e+12,1149,17.28,NA,NA,14531,1.37,700,3.52
"151","004690","삼천리",487000,-1000,-0.2,"KOSPI","전기가스업",1974797175000,17385,28.01,16358,29.77,392735,1.24,3000,0.62
"152","111770","영원무역",44350,-800,-1.77,"KOSPI","유통업",1965213605800,6795,6.53,10031,4.42,50585,0.88,1000,2.25
"153","214370","케어젠",181900,800,0.44,"KOSDAQ","제약",1954151700000,2582,70.45,NA,NA,21387,8.51,2300,1.26
"154","001440","대한전선",1545,-23,-1.47,"KOSPI","전기전자",1922710798905,33,46.82,NA,NA,439,3.52,0,0
"155","000120","CJ대한통운",83400,-1400,-1.65,"KOSPI","운수창고업",1902549489600,1841,45.3,9437,8.84,178766,0.47,0,0
"156","047040","대우건설",4525,-110,-2.37,"KOSPI","건설업",1880692436950,1180,3.83,1149,3.94,7817,0.58,0,0
"157","298050","효성첨단소재",417500,-8500,-2,"KOSPI","화학",1870378290000,56109,7.44,43170,9.67,135183,3.09,10000,2.4
"158","042670","현대두산인프라코어",9400,40,0.43,"KOSPI","기계",1858976063400,5816,1.62,1200,7.83,6945,1.35,0,0
"159","005290","동진쎄미켐",36100,-250,-0.69,"KOSDAQ","반도체",1856063233400,2008,17.98,NA,NA,10764,3.35,110,0.3
"160","336370","솔루스첨단소재",52200,1900,3.78,"KOSPI","전기전자",1832804379000,289,180.62,267,195.56,7359,7.09,100,0.19
"161","175330","JB금융지주",9280,-240,-2.52,"KOSPI","기타금융",1828001256320,2510,3.7,3174,2.92,21392,0.43,599,6.45
"162","357780","솔브레인",233500,-8000,-3.31,"KOSDAQ","화학",1816295161000,19124,12.21,23645,9.88,81797,2.85,1950,0.84
"163","032190","다우데이타",46300,-100,-0.22,"KOSDAQ","유통",1.77329e+12,3838,12.06,NA,NA,24053,1.92,300,0.65
"164","007310","오뚜기",440000,-13000,-2.87,"KOSPI","음식료품",1763445200000,38054,11.56,38425,11.45,442610,0.99,8000,1.82
"165","000080","하이트진로",24400,-750,-2.98,"KOSPI","음식료품",1711260108400,1031,23.67,1854,13.16,15657,1.56,800,3.28
"166","145020","휴젤",136500,1300,0.96,"KOSDAQ","제약",1690614607500,4733,28.84,6616,20.63,63860,2.14,0,0
"167","003620","쌍용차",8760,0,0,"KOSPI","운수장비",1637734770240,NA,NA,NA,NA,NA,NA,0,0
"168","079550","LIG넥스원",74400,-300,-0.4,"KOSPI","기계",1.6368e+12,4829,15.41,7480,9.95,35023,2.12,1200,1.61
"169","393890","더블유씨피",47850,-850,-1.75,"KOSDAQ","일반전기전자",1612378386300,NA,NA,1768,27.06,16427,2.91,0,0
"170","108320","LX세미콘",96600,-900,-0.92,"KOSPI","전기전자",1571131380000,18225,5.3,11683,8.27,49208,1.96,5400,5.59
"171","365340","성일하이텍",131400,-7700,-5.54,"KOSDAQ","화학",1567583472600,NA,NA,4336,30.3,11863,11.08,0,0
"172","005300","롯데칠성",168800,-1200,-0.71,"KOSPI","음식료품",1566275619200,13341,12.65,16479,10.24,143885,1.17,3000,1.78
"173","240810","원익IPS",31400,-600,-1.88,"KOSDAQ","반도체",1541234491400,3007,10.44,1731,18.14,16597,1.89,300,0.96
"174","004000","롯데정밀화학",59400,-1600,-2.62,"KOSPI","화학",1.53252e+12,22986,2.58,10716,5.54,86322,0.69,2300,3.87
"175","010120","LS ELECTRIC",50400,500,1,"KOSPI","전기전자",1.512e+12,2890,17.44,4964,10.15,50525,1,1000,1.98
"176","034230","파라다이스",16490,-510,-3,"KOSDAQ","오락·문화",1511355941730,NA,NA,491,33.62,14400,1.15,0,0
"177","051600","한전KPS",33500,-500,-1.47,"KOSPI","건설업",1.5075e+12,2193,15.28,2699,12.41,24711,1.36,1199,3.58
"178","042700","한미반도체",15470,70,0.45,"KOSPI","기계",1505839001940,1057,14.64,1049,14.74,3506,4.41,300,1.94
"179","237690","에스티팜",79300,-1100,-1.37,"KOSDAQ","제약",1491535857500,177,448.02,1417,55.95,17171,4.62,500,0.63
"180","121600","나노신소재",136500,900,0.66,"KOSDAQ","화학",1480797454500,703,194.17,2486,54.91,9322,14.64,120,0.09
"181","001230","동국제강",15430,160,1.05,"KOSPI","철강금속",1472527131910,5888,2.62,3948,3.91,28552,0.54,400,2.59
"182","004800","효성",69700,-600,-0.85,"KOSPI","기타금융",1468650442500,22012,3.17,3029,23.01,131860,0.53,6500,9.33
"183","011210","현대위아",53600,-1700,-3.07,"KOSPI","운수장비",1457656448800,2346,22.85,6967,7.69,122356,0.44,700,1.31
