"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"169","002900","TYM","KOSPI","기계",2860,95,3.44,435731716420
"170","024070","WISCOM","KOSPI","화학",2770,-30,-1.07,42454233260
"171","037270","YG PLUS","KOSPI","서비스업",5290,0,0,335541578900
"172","000500","가온전선","KOSPI","전기전자",16340,-270,-1.63,103904850840
"173","000860","강남제비스코","KOSPI","화학",21800,-150,-0.68,1.417e+11
"174","035250","강원랜드","KOSPI","서비스업",20550,-400,-1.91,4396477275000
"175","011420","갤럭시아에스엠","KOSPI","서비스업",3015,-165,-5.19,83062176660
"176","002100","경농","KOSPI","화학",11010,-100,-0.9,214943550750
"177","009450","경동나비엔","KOSPI","전기전자",37800,-450,-1.18,550692777600
"178","267290","경동도시가스","KOSPI","전기가스업",23800,-600,-2.46,140310662800
"179","012320","경동인베스트","KOSPI","기타금융",83900,-200,-0.24,198425429700
"180","000050","경방","KOSPI","유통업",10930,0,0,299648901100
"181","214390","경보제약","KOSPI","의약품",7000,-150,-2.1,167348020000
"182","012610","경인양행","KOSPI","화학",4535,-95,-2.05,188730215275
"183","009140","경인전자","KOSPI","전기전자",24350,-100,-0.41,38248906950
"184","013580","계룡건설","KOSPI","건설업",19680,-420,-2.09,175760249760
"185","012200","계양전기","KOSPI","기계",2335,20,0.86,63565305715
"186","012205","계양전기우","KOSPI","기계",5040,40,0.8,5892158160
"187","002140","고려산업","KOSPI","음식료품",4645,960,26.05,115843629125
"188","010130","고려아연","KOSPI","철강금속",609000,-1000,-0.16,12096663222000
"189","002240","고려제강","KOSPI","철강금속",22650,50,0.22,5.6625e+11
"190","009290","광동제약","KOSPI","의약품",5800,-120,-2.03,304040935800
"191","017040","광명전기","KOSPI","전기전자",2375,-40,-1.66,102926835625
"192","017900","광전자","KOSPI","전기전자",2340,-40,-1.68,135588405420
"193","037710","광주신세계","KOSPI","유통업",37800,-50,-0.13,3.024e+11
"194","030610","교보증권","KOSPI","증권",5770,-40,-0.69,373049517920
"195","339770","교촌에프앤비","KOSPI","유통업",9350,-130,-1.37,233586749000
"196","007690","국도화학","KOSPI","화학",43900,-250,-0.57,395566042400
"197","005320","국동","KOSPI","유통업",1416,-12,-0.84,80615100288
"198","001140","국보","KOSPI","운수창고업",679,-28,-3.96,72095479211
"199","002720","국제약품","KOSPI","의약품",4805,-105,-2.14,97037690945
"200","083420","그린케미칼","KOSPI","화학",9390,-260,-2.69,2.2536e+11
"201","014530","극동유화","KOSPI","화학",3630,-50,-1.36,126575994600
"202","014280","금강공업","KOSPI","철강금속",6070,-150,-2.41,178029196990
"203","014285","금강공업우","KOSPI","철강금속",12220,-30,-0.24,7208272500
"204","008870","금비","KOSPI","비금속광물",95100,1400,1.49,9.51e+10
"205","001570","금양","KOSPI","화학",36000,1300,3.75,2089801332000
"206","002990","금호건설","KOSPI","건설업",6920,-160,-2.26,255718877400
"207","002995","금호건설우","KOSPI","건설업",24400,-50,-0.2,7131290400
"208","011780","금호석유","KOSPI","화학",159100,-2300,-1.43,4663907039200
"209","011785","금호석유우","KOSPI","화학",80500,-1000,-1.23,243390623000
"210","214330","금호에이치티","KOSPI","운수장비",873,-11,-1.24,171231065937
"211","001210","금호전기","KOSPI","전기전자",1030,-11,-1.06,28380816730
"212","073240","금호타이어","KOSPI","화학",3290,-70,-2.08,945086344230
"213","092440","기신정기","KOSPI","기계",3695,-15,-0.4,1.07894e+11
"214","000270","기아","KOSPI","운수장비",74500,-2100,-2.74,30199569351500
"215","024110","기업은행","KOSPI","은행",10060,-110,-1.08,8022104242140
"216","013700","까뮤이앤씨","KOSPI","건설업",1783,-17,-0.94,80506515240
"217","004540","깨끗한나라","KOSPI","종이목재",2850,-40,-1.38,106135975050
"218","004545","깨끗한나라우","KOSPI","종이목재",18120,-180,-0.98,6634819200
"219","001260","남광토건","KOSPI","건설업",10160,-440,-4.15,99898931520
"220","008350","남선알미늄","KOSPI","철강금속",2405,-55,-2.24,310435211450
"221","008355","남선알미우","KOSPI","철강금속",28300,-700,-2.41,8713287000
"222","004270","남성","KOSPI","유통업",2575,15,0.59,93246312000
"223","003920","남양유업","KOSPI","음식료품",597000,-26000,-4.17,4.2984e+11
"224","003925","남양유업우","KOSPI","음식료품",342000,-15000,-4.2,56998404000
"225","025860","남해화학","KOSPI","화학",9200,-190,-2.02,457045355600
"226","005720","넥센","KOSPI","화학",4045,-55,-1.34,216585386965
"227","005725","넥센우","KOSPI","화학",3165,-15,-0.47,11395899000
"228","002350","넥센타이어","KOSPI","화학",7580,-120,-1.56,740322507660
"229","002355","넥센타이어1우B","KOSPI","화학",2830,-40,-1.39,1.8395e+10
"230","251270","넷마블","KOSPI","서비스업",59700,-2200,-3.55,5131424069400
"231","090350","노루페인트","KOSPI","화학",8100,30,0.37,1.62e+11
"232","090355","노루페인트우","KOSPI","화학",15050,-120,-0.79,6970046300
"233","000320","노루홀딩스","KOSPI","기타금융",10180,-50,-0.49,135303917180
"234","000325","노루홀딩스우","KOSPI","기타금융",23200,-300,-1.28,5650568800
"235","006280","녹십자","KOSPI","의약품",121600,-3300,-2.64,1421083020800
"236","005250","녹십자홀딩스","KOSPI","서비스업",16110,-470,-2.83,757624463100
"237","005257","녹십자홀딩스2우","KOSPI","서비스업",32500,-700,-2.11,27494675000
"238","004370","농심","KOSPI","음식료품",356500,-2500,-0.7,2168461873000
"239","072710","농심홀딩스","KOSPI","기타금융",68900,0,0,319543731000
"240","058730","다스코","KOSPI","기계",4940,-60,-1.2,95820888540
"241","030210","다올투자증권","KOSPI","증권",4930,65,1.34,297348473560
"242","023590","다우기술","KOSPI","서비스업",22050,-600,-2.65,989308904850
"243","145210","다이나믹디자인","KOSPI","기계",3475,-100,-2.8,48445155700
"244","019680","대교","KOSPI","서비스업",2990,-40,-1.32,253261521500
"245","019685","대교우B","KOSPI","서비스업",2005,-15,-0.74,38951114950
"246","006370","대구백화점","KOSPI","유통업",9890,-50,-0.5,107025732790
"247","008060","대덕","KOSPI","기타금융",6840,-50,-0.73,231808626000
"248","00806K","대덕1우","KOSPI","기타금융",10120,-100,-0.98,12269052840
"249","353200","대덕전자","KOSPI","전기전자",21500,-1300,-5.7,1062463887500
"250","35320K","대덕전자1우","KOSPI","전기전자",10680,-400,-3.61,22380142920
"251","000490","대동","KOSPI","기계",12720,20,0.16,304419542880
"252","008110","대동전자","KOSPI","전기전자",9590,-230,-2.34,100603386730
"253","005750","대림B&Co","KOSPI","비금속광물",3820,-70,-1.8,63687956800
"254","006570","대림통상","KOSPI","기계",3830,-70,-1.79,58311750000
"255","001680","대상","KOSPI","음식료품",19780,-370,-1.84,685337934500
"256","001685","대상우","KOSPI","음식료품",15690,-90,-0.57,21498798870
"257","084690","대상홀딩스","KOSPI","기타금융",7690,-90,-1.16,278474417220
"258","084695","대상홀딩스우","KOSPI","기타금융",9250,-140,-1.49,8449708500
"259","128820","대성산업","KOSPI","유통업",4120,-25,-0.6,186370169360
"260","117580","대성에너지","KOSPI","전기가스업",10150,200,2.01,2.79125e+11
"261","016710","대성홀딩스","KOSPI","서비스업",124900,3200,2.63,2009573429100
"262","003540","대신증권","KOSPI","증권",13030,-140,-1.06,661577402000
"263","003547","대신증권2우B","KOSPI","증권",11990,-80,-0.66,1.199e+11
"264","003545","대신증권우","KOSPI","증권",12500,-10,-0.08,3.25e+11
"265","009190","대양금속","KOSPI","철강금속",3350,-60,-1.76,111763849050
"266","014160","대영포장","KOSPI","종이목재",1537,-23,-1.47,166602421813
"267","047040","대우건설","KOSPI","건설업",4525,-110,-2.37,1880692436950
"268","009320","대우부품","KOSPI","운수장비",1507,-46,-2.96,71803087125
"269","042660","대우조선해양","KOSPI","운수장비",26150,150,0.58,2805650994350
"270","003090","대웅","KOSPI","의약품",17900,-120,-0.67,1040741442000
"271","069620","대웅제약","KOSPI","의약품",118800,-4800,-3.88,1376485110000
"272","000430","대원강업","KOSPI","운수장비",3385,-55,-1.6,2.0987e+11
"273","006340","대원전선","KOSPI","전기전자",1124,-21,-1.83,80888136216
"274","006345","대원전선우","KOSPI","전기전자",2710,-40,-1.45,7103452000
